imdb_id,omdb_title,omdb_year,awards_text,omdb_boxoffice,omdb_imdb_rating,omdb_metascore,omdb_imdb_votes,response_ok,error_msg,fetched_at,omdb_boxoffice_usd,oscar_winner_flag,oscar_nominee_flag
tt0107290,Jurassic Park,1993,Won 3 Oscars. 44 wins & 27 nominations total,"$407,185,075",8.2,68,"1,148,871",True,,2025-10-26T10:46:02.779522,407185075.0,1,0
tt0107362,Last Action Hero,1993,1 win & 16 nominations total,"$50,016,394",6.5,44,"171,378",True,,2025-10-26T10:46:03.193954,50016394.0,0,0
tt0107614,Mrs. Doubtfire,1993,Won 1 Oscar. 11 wins & 10 nominations total,"$219,195,243",7.1,54,"307,375",True,,2025-10-26T10:46:03.668724,219195243.0,1,0
tt0107616,Much Ado About Nothing,1993,Nominated for 1 BAFTA Award5 wins & 11 nominations total,"$22,549,338",7.3,80,"54,656",True,,2025-10-26T10:46:04.182712,22549338.0,0,0
tt0107719,The Nutcracker,1993,N/A,"$2,119,994",5.8,N/A,"2,671",True,,2025-10-26T10:46:04.793217,2119994.0,0,0
tt0107818,Philadelphia,1993,Won 2 Oscars. 20 wins & 23 nominations total,"$77,446,440",7.7,66,"269,184",True,,2025-10-26T10:46:05.267347,77446440.0,1,0
tt0107978,RoboCop 3,1993,3 nominations total,"$10,696,210",4.2,40,"57,115",True,,2025-10-26T10:46:05.933179,10696210.0,0,0
tt0108052,Schindler's List,1993,Won 7 Oscars. 91 wins & 49 nominations total,"$96,898,818",9.0,95,"1,548,974",True,,2025-10-26T10:46:06.341489,96898818.0,1,0
tt0108101,Shadowlands,1993,Nominated for 2 Oscars. 7 wins & 14 nominations total,"$25,842,377",7.3,N/A,"20,775",True,,2025-10-26T10:46:06.773628,25842377.0,0,1
tt0108148,Iron Monkey,1993,2 nominations total,"$14,694,904",7.5,79,"17,765",True,,2025-10-26T10:46:07.192090,14694904.0,0,0
tt0108160,Sleepless in Seattle,1993,Nominated for 2 Oscars. 4 wins & 19 nominations total,"$126,808,165",6.8,72,"201,328",True,,2025-10-26T10:46:07.613191,126808165.0,0,1
tt0108255,Super Mario Bros.,1993,2 nominations total,"$20,915,465",4.2,35,"66,417",True,,2025-10-26T10:46:08.255762,20915465.0,0,0
tt0108308,Teenage Mutant Ninja Turtles III,1993,1 win total,"$42,273,609",4.8,40,"37,789",True,,2025-10-26T10:46:08.679183,42273609.0,0,0
tt0108327,The Thing Called Love,1993,N/A,"$1,029,721",6.4,46,"9,010",True,,2025-10-26T10:46:09.105759,1029721.0,0,0
tt0108525,Wayne's World 2,1993,3 nominations total,"$48,197,805",6.2,60,"91,066",True,,2025-10-26T10:46:09.522701,48197805.0,0,0
tt0109040,Ace Ventura: Pet Detective,1994,5 wins & 6 nominations total,"$72,217,396",6.9,37,"342,014",True,,2025-10-26T10:46:09.991620,72217396.0,0,0
tt0109190,Baby's Day Out,1994,N/A,"$16,827,402",6.2,N/A,"59,134",True,,2025-10-26T10:46:10.440870,16827402.0,0,0
tt0109254,Beverly Hills Cop III,1994,3 nominations total,"$42,614,912",5.5,16,"97,794",True,,2025-10-26T10:46:10.888585,42614912.0,0,0
tt0109370,Canadian Bacon,1995,N/A,"$163,971",5.9,N/A,"18,283",True,,2025-10-26T10:46:11.311874,163971.0,0,0
tt0109444,Clear and Present Danger,1994,Nominated for 2 Oscars. 3 wins & 11 nominations total,"$122,187,717",6.9,72,"113,327",True,,2025-10-26T10:46:11.769390,122187717.0,0,1
tt0109445,Clerks,1994,7 wins & 10 nominations total,"$3,151,130",7.7,70,"238,383",True,,2025-10-26T10:46:12.227874,3151130.0,0,0
tt0109456,Color of Night,1994,2 wins & 11 nominations total,"$19,726,050",5.2,36,"26,958",True,,2025-10-26T10:46:12.693073,19726050.0,0,0
tt0109579,Death and the Maiden,1994,4 nominations total,"$3,103,716",7.2,72,"27,535",True,,2025-10-26T10:46:13.165029,3103716.0,0,0
tt0109635,Disclosure,1994,2 wins & 2 nominations total,"$83,015,089",6.2,58,"56,603",True,,2025-10-26T10:46:13.638071,83015089.0,0,0
tt0109676,Drop Zone,1994,N/A,"$28,735,315",5.6,N/A,"22,575",True,,2025-10-26T10:46:14.087041,28735315.0,0,0
tt0109686,Dumb and Dumber,1994,5 wins & 3 nominations total,"$127,190,327",7.3,41,"432,617",True,,2025-10-26T10:46:14.512740,127190327.0,0,0
tt0109707,Ed Wood,1994,Won 2 Oscars. 27 wins & 33 nominations total,"$5,887,457",7.8,71,"188,531",True,,2025-10-26T10:46:14.947677,5887457.0,1,0
tt0109813,The Flintstones,1994,6 wins & 10 nominations total,"$130,531,208",5.0,38,"89,753",True,,2025-10-26T10:46:15.373164,130531208.0,0,0
tt0109830,Forrest Gump,1994,Won 6 Oscars. 51 wins & 74 nominations total,"$330,455,270",8.8,82,"2,422,593",True,,2025-10-26T10:46:15.788868,330455270.0,1,0
tt0109831,Four Weddings and a Funeral,1994,Nominated for 2 Oscars. 24 wins & 27 nominations total,"$52,700,832",7.1,81,"176,528",True,,2025-10-26T10:46:16.201696,52700832.0,0,1
tt0109836,Frankenstein,1994,Nominated for 1 Oscar. 20 nominations total,"$22,006,296",6.3,49,"61,682",True,,2025-10-26T10:46:16.622363,22006296.0,0,1
tt0110005,Heavenly Creatures,1994,Nominated for 1 Oscar. 17 wins & 17 nominations total,"$3,049,135",7.3,86,"69,272",True,,2025-10-26T10:46:17.093918,3049135.0,0,1
tt0110074,The Hudsucker Proxy,1994,3 wins & 4 nominations total,"$2,816,518",7.2,53,"88,498",True,,2025-10-26T10:46:17.555070,2816518.0,0,0
tt0110097,I'll Do Anything,1994,1 win & 2 nominations,"$10,424,645",5.5,N/A,"2,901",True,,2025-10-26T10:46:18.030137,10424645.0,0,0
tt0110099,I.Q.,1994,N/A,"$26,381,221",6.2,66,"26,913",True,,2025-10-26T10:46:18.496132,26381221.0,0,0
tt0110148,Interview with the Vampire,1994,Nominated for 2 Oscars. 24 wins & 34 nominations total,"$105,264,608",7.5,62,"366,784",True,,2025-10-26T10:46:18.947023,105264608.0,0,1
